@relation 'IM_auto-status_intelligibility-weka.filters.unsupervised.attribute.Remove-R105-118,121-weka.filters.unsupervised.attribute.Remove-R106-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute timeSinceLastOMsg numeric
@attribute log(lastOMsg) numeric
@attribute KBCountFeature(60) numeric
@attribute log(KBCountFeature(60)) numeric
@attribute KBCountFeature(30) numeric
@attribute log(KBCountFeature(30)) numeric
@attribute Focus {'out of focus','in focus'}
@attribute UserInputCountFeature(120) numeric
@attribute log(UserInputCountFeature(120)) numeric
@attribute _future_respondedWithin(60) {0,1}

@data
62,1.799341,0,0,0,0,'out of focus',2322,3.366049,1
1,0.30103,10,1.041393,10,1.041393,'out of focus',2410,3.382197,1
58,1.770852,3,0.60206,0,0,'out of focus',1896,3.278067,0
11,1.079181,48,1.690196,20,1.322219,'out of focus',2382,3.377124,0
0,0,68,1.838849,60,1.78533,'out of focus',8619,3.935507,1
6,0.845098,60,1.78533,60,1.78533,'out of focus',8294,3.918816,1
15,1.20412,0,0,0,0,'out of focus',839,2.924279,1
702,2.846955,159,2.20412,128,2.11059,'in focus',694,2.841985,1
33,1.531479,219,2.342423,99,2,'out of focus',1149,3.060698,0
11,1.079181,0,0,0,0,'out of focus',3776,3.577147,1
4,0.69897,25,1.414973,25,1.414973,'out of focus',3783,3.577951,1
8,0.954243,25,1.414973,25,1.414973,'out of focus',3938,3.595386,1
7,0.90309,32,1.518514,32,1.518514,'out of focus',4019,3.604226,1
22,1.361728,15,1.20412,3,0.60206,'out of focus',3210,3.50664,1
6,0.845098,37,1.579784,34,1.544068,'out of focus',1899,3.278754,1
15,1.20412,61,1.792392,27,1.447158,'out of focus',2064,3.31492,1
19,1.30103,122,2.089905,59,1.778151,'out of focus',2556,3.407731,1
21,1.342423,113,2.056905,48,1.690196,'out of focus',2607,3.416308,1
69,1.845098,0,0,0,0,'in focus',3415,3.533518,1
7,0.90309,10,1.041393,10,1.041393,'out of focus',3356,3.525951,1
9,1,12,1.113943,12,1.113943,'out of focus',3435,3.536053,1
3,0.60206,18,1.278754,18,1.278754,'out of focus',3571,3.552911,1
3,0.60206,18,1.278754,18,1.278754,'out of focus',3571,3.552911,1
5,0.778151,35,1.556303,35,1.556303,'in focus',3529,3.547775,0
12,1.113943,219,2.342423,134,2.130334,'out of focus',259,2.414973,1
14,1.176091,224,2.352183,130,2.117271,'out of focus',243,2.38739,1
0,0,236,2.374748,130,2.117271,'out of focus',250,2.399674,1
2,0.477121,241,2.383815,112,2.053078,'out of focus',255,2.40824,0
11077,4.044461,0,0,0,0,'out of focus',1,0.30103,0
9,1,28,1.462398,28,1.462398,'out of focus',127,2.10721,0
67,1.832509,0,0,0,0,'out of focus',126,2.103804,0
134,2.130334,0,0,0,0,'out of focus',1,0.30103,0
10,1.041393,17,1.255273,17,1.255273,'out of focus',39,1.60206,1
7,0.90309,105,2.025306,88,1.94939,'out of focus',127,2.10721,1
28,1.462398,174,2.243038,10,1.041393,'out of focus',1894,3.277609,1
722,2.859138,195,2.292256,2,0.477121,'in focus',2210,3.344589,1
22,1.361728,14,1.176091,14,1.176091,'out of focus',680,2.833147,1
36,1.568202,14,1.176091,0,0,'out of focus',680,2.833147,1
